-----------+----------------------------------+------------------------------------------------------------------
Date       | Title                            | Chapter/Section Title
-----------+----------------------------------+------------------------------------------------------------------
2026-05-20 | Data Engineering with GCP        | #2. Big Data Capabilities on GCP
2026-05-20 | Data Engineering with GCP        | #1. Fundamentals of Data Engineering
2026-05-19 | Fundamentals of Data Engineering | Appendix B. Cloud Networking
2026-05-19 | Fundamentals of Data Engineering | #11. The Future of Data Engineering
2026-05-19 | Fundamentals of Data Engineering | #10. Security and Privacy
2026-05-19 | Fundamentals of Data Engineering | #9. Serving Data for Analytics, Machine Learning, and Reverse ETL
2026-05-19 | Fundamentals of Data Engineering | #8. Queries, Modeling, and Transformation
2026-05-19 | Fundamentals of Data Engineering | #7. Ingestion
2026-05-19 | Fundamentals of Data Engineering | #6. Storage
2026-05-19 | Fundamentals of Data Engineering | #5. Data Generation in Source Systems
2026-05-18 | Fundamentals of Data Engineering | #4. Choosing Technologies Across the Data Engineering Lifecycle
